Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Discounts %,Sales,COGS,COGS %,Profit,Profit Margin %,Profit Category,Date,Month Number,Month Name,Year
Government,Canada, Montana , High ,200.0,5.0,350.0,70000.0,9800.0,0.14,60200.0,52000.0,0.8637999999999999,8200.0,0.11710000000000001,Low,2014-05-01,5.0, May ,2014.0
Small Business,Germany, Carretera , Low ,214.0,3.0,300.0,64200.0,1284.0,0.02,62916.0,53500.0,0.8503000000000001,9416.0,0.1467,Low,2013-10-01,10.0, October ,2013.0
Small Business,Germany, VTT , Low ,214.0,250.0,300.0,64200.0,1284.0,0.02,62916.0,53500.0,0.8503000000000001,9416.0,0.1467,Low,2013-10-01,10.0, October ,2013.0
Midmarket,Canada, Paseo , Low ,218.0,10.0,15.0,3270.0,130.8,0.04,3139.2,2180.0,0.6944,959.2,0.2933,Medium,2014-09-01,9.0, September ,2014.0
Government,Germany, Paseo , High ,241.0,10.0,20.0,4820.0,482.0,0.1,4338.0,2410.0,0.5556,1928.0,0.4,Medium,2014-10-01,10.0, October ,2014.0
Government,Germany, Velo , High ,241.0,120.0,20.0,4820.0,482.0,0.1,4338.0,2410.0,0.5556,1928.0,0.4,Medium,2014-10-01,10.0, October ,2014.0
Midmarket,Mexico, Velo , Medium ,245.0,120.0,15.0,3675.0,330.75,0.09,3344.25,2450.0,0.7326,894.25,0.2433,Medium,2014-05-01,5.0, May ,2014.0
Government,Canada, Paseo , Medium ,257.0,10.0,7.0,1799.0,143.92,0.08,1655.08,1285.0,0.7764,370.08,0.2057,Medium,2014-05-01,5.0, May ,2014.0
Small Business,Germany, Amarilla , Low ,259.0,260.0,300.0,77700.0,1554.0,0.02,76146.0,64750.0,0.8503000000000001,11396.0,0.1467,Low,2014-03-01,3.0, March ,2014.0
Government,Mexico, Paseo , High ,260.0,10.0,20.0,5200.0,728.0,0.14,4472.0,2600.0,0.5814,1872.0,0.36,Medium,2014-02-01,2.0, February ,2014.0
Government,Germany, VTT , Low ,263.0,250.0,7.0,1841.0,18.41,0.01,1822.59,1315.0,0.7215,507.59,0.2757,Medium,2014-03-01,3.0, March ,2014.0
Government,United States of America, Carretera , Medium ,263.0,3.0,7.0,1841.0,110.46,0.06,1730.54,1315.0,0.7598999999999999,415.54,0.2257,Medium,2013-11-01,11.0, November ,2013.0
Government,United States of America, VTT , Low ,266.0,250.0,350.0,93100.0,1862.0,0.02,91238.0,69160.0,0.758,22078.0,0.2371,Medium,2013-12-01,12.0, December ,2013.0
Government,United States of America, Paseo , High ,267.0,10.0,20.0,5340.0,801.0,0.15,4539.0,2670.0,0.5882000000000001,1869.0,0.35,Medium,2013-10-01,10.0, October ,2013.0
Government,United States of America, VTT , High ,267.0,250.0,20.0,5340.0,801.0,0.15,4539.0,2670.0,0.5882000000000001,1869.0,0.35,Medium,2013-10-01,10.0, October ,2013.0
Small Business,Canada, Velo , High ,269.0,120.0,300.0,80700.0,11298.0,0.14,69402.0,67250.0,0.9690000000000001,2152.0,0.026699999999999998,Low,2013-10-01,10.0, October ,2013.0
Small Business,Canada, VTT , High ,269.0,250.0,300.0,80700.0,11298.0,0.14,69402.0,67250.0,0.9690000000000001,2152.0,0.026699999999999998,Low,2013-10-01,10.0, October ,2013.0
Government,United States of America, Amarilla , High ,270.0,260.0,350.0,94500.0,11340.0,0.12,83160.0,70200.0,0.8442000000000001,12960.0,0.1371,Low,2014-02-01,2.0, February ,2014.0
Government,United States of America, Carretera , Low ,274.0,3.0,350.0,95900.0,3836.0,0.04,92064.0,71240.0,0.7737999999999999,20824.0,0.21710000000000002,Medium,2014-12-01,12.0, December ,2014.0
Government,United States of America, Paseo , Low ,274.0,10.0,350.0,95900.0,3836.0,0.04,92064.0,71240.0,0.7737999999999999,20824.0,0.21710000000000002,Medium,2014-12-01,12.0, December ,2014.0
Midmarket,Germany, Paseo , High ,278.0,10.0,15.0,4170.0,583.8,0.14,3586.2,2780.0,0.7752,806.2,0.19329999999999997,Medium,2014-02-01,2.0, February ,2014.0
Government,Germany, Carretera , High ,280.0,3.0,7.0,1960.0,274.4,0.14,1685.6,1400.0,0.8306,285.6,0.1457,Low,2014-12-01,12.0, December ,2014.0
Government,Germany, VTT , High ,280.0,250.0,7.0,1960.0,274.4,0.14,1685.6,1400.0,0.8306,285.6,0.1457,Low,2014-12-01,12.0, December ,2014.0
Government,Canada, Paseo ,None,292.0,10.0,20.0,5840.0,0.0,0.0,5840.0,2920.0,0.5,2920.0,0.5,High,2014-02-01,2.0, February ,2014.0
Government,France, Paseo , High ,293.0,10.0,20.0,5860.0,879.0,0.15,4981.0,2930.0,0.5882000000000001,2051.0,0.35,Medium,2014-12-01,12.0, December ,2014.0
Government,France, VTT , High ,293.0,250.0,20.0,5860.0,879.0,0.15,4981.0,2930.0,0.5882000000000001,2051.0,0.35,Medium,2014-12-01,12.0, December ,2014.0
