Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Discounts %,Sales,COGS,COGS %,Profit,Profit Margin %,Profit Category,Date,Month Number,Month Name,Year
Government,Canada, Montana , High ,200,5,350,70000,9800,14.00%,60200,52000,86.38%,8200,11.71%,Low,5/1/2014,5, May ,2014
Small Business,Germany, Carretera , Low ,214,3,300,64200,1284,2.00%,62916,53500,85.03%,9416,14.67%,Low,10/1/2013,10, October ,2013
Small Business,Germany, VTT , Low ,214,250,300,64200,1284,2.00%,62916,53500,85.03%,9416,14.67%,Low,10/1/2013,10, October ,2013
Midmarket,Canada, Paseo , Low ,218,10,15,3270,130.8,4.00%,3139.2,2180,69.44%,959.2,29.33%,Medium,9/1/2014,9, September ,2014
Government,Germany, Paseo , High ,241,10,20,4820,482,10.00%,4338,2410,55.56%,1928,40.00%,Medium,10/1/2014,10, October ,2014
Government,Germany, Velo , High ,241,120,20,4820,482,10.00%,4338,2410,55.56%,1928,40.00%,Medium,10/1/2014,10, October ,2014
Midmarket,Mexico, Velo , Medium ,245,120,15,3675,330.75,9.00%,3344.25,2450,73.26%,894.25,24.33%,Medium,5/1/2014,5, May ,2014
Government,Canada, Paseo , Medium ,257,10,7,1799,143.92,8.00%,1655.08,1285,77.64%,370.08,20.57%,Medium,5/1/2014,5, May ,2014
Small Business,Germany, Amarilla , Low ,259,260,300,77700,1554,2.00%,76146,64750,85.03%,11396,14.67%,Low,3/1/2014,3, March ,2014
Government,Mexico, Paseo , High ,260,10,20,5200,728,14.00%,4472,2600,58.14%,1872,36.00%,Medium,2/1/2014,2, February ,2014
Government,Germany, VTT , Low ,263,250,7,1841,18.41,1.00%,1822.59,1315,72.15%,507.59,27.57%,Medium,3/1/2014,3, March ,2014
Government,United States of America, Carretera , Medium ,263,3,7,1841,110.46,6.00%,1730.54,1315,75.99%,415.54,22.57%,Medium,11/1/2013,11, November ,2013
Government,United States of America, VTT , Low ,266,250,350,93100,1862,2.00%,91238,69160,75.80%,22078,23.71%,Medium,12/1/2013,12, December ,2013
Government,United States of America, Paseo , High ,267,10,20,5340,801,15.00%,4539,2670,58.82%,1869,35.00%,Medium,10/1/2013,10, October ,2013
Government,United States of America, VTT , High ,267,250,20,5340,801,15.00%,4539,2670,58.82%,1869,35.00%,Medium,10/1/2013,10, October ,2013
Small Business,Canada, Velo , High ,269,120,300,80700,11298,14.00%,69402,67250,96.90%,2152,2.67%,Low,10/1/2013,10, October ,2013
Small Business,Canada, VTT , High ,269,250,300,80700,11298,14.00%,69402,67250,96.90%,2152,2.67%,Low,10/1/2013,10, October ,2013
Government,United States of America, Amarilla , High ,270,260,350,94500,11340,12.00%,83160,70200,84.42%,12960,13.71%,Low,2/1/2014,2, February ,2014
Government,United States of America, Carretera , Low ,274,3,350,95900,3836,4.00%,92064,71240,77.38%,20824,21.71%,Medium,12/1/2014,12, December ,2014
Government,United States of America, Paseo , Low ,274,10,350,95900,3836,4.00%,92064,71240,77.38%,20824,21.71%,Medium,12/1/2014,12, December ,2014
Midmarket,Germany, Paseo , High ,278,10,15,4170,583.8,14.00%,3586.2,2780,77.52%,806.2,19.33%,Medium,2/1/2014,2, February ,2014
Government,Germany, Carretera , High ,280,3,7,1960,274.4,14.00%,1685.6,1400,83.06%,285.6,14.57%,Low,12/1/2014,12, December ,2014
Government,Germany, VTT , High ,280,250,7,1960,274.4,14.00%,1685.6,1400,83.06%,285.6,14.57%,Low,12/1/2014,12, December ,2014
Government,Canada, Paseo ,,292,10,20,5840,0,0.00%,5840,2920,50.00%,2920,50.00%,High,2/1/2014,2, February ,2014
